Mon Jan 30 16:45:37 2023 -- Circle found centered at image coordinates: x = 630, y = 214
Mon Jan 30 16:45:37 2023 -- Circle found centered at image coordinates: x = 610, y = 213
Mon Jan 30 16:45:37 2023 -- Circle found centered at image coordinates: x = 590, y = 214
Mon Jan 30 16:45:37 2023 -- Circle found centered at image coordinates: x = 570, y = 213
Mon Jan 30 16:45:37 2023 -- Circle found centered at image coordinates: x = 550, y = 214
Mon Jan 30 16:45:37 2023 -- Circle found centered at image coordinates: x = 530, y = 213
Mon Jan 30 16:45:38 2023 -- Circle found centered at image coordinates: x = 510, y = 214
Mon Jan 30 16:45:37 2023 -- Circle found centered at image coordinates: x = 570, y = 213
Mon Jan 30 16:45:37 2023 -- Circle found centered at image coordinates: x = 550, y = 214
Mon Jan 30 16:45:37 2023 -- Circle found centered at image coordinates: x = 530, y = 213
Mon Jan 30 16:45:38 2023 -- Circle found centered at image coordinates: x = 510, y = 214
